Chiave,valore
iva,7837.78
id_azienda,59
id_prodotto,12
importo,32856.38
iva,0
id_azienda,91
id_prodotto,13
importo,32387.53
iva,0
id_azienda,83
id_prodotto,9
importo,27516.62
iva,6053.66
id_azienda,83
id_prodotto,9
importo,25015.11
iva,0
id_azienda,89
id_prodotto,9
importo,24348.39
iva,5356.65
id_azienda,34
id_prodotto,8
importo,23840.74
iva,5244.96
id_azienda,6
id_prodotto,11
importo,23301.81
iva,5126.4
id_azienda,89
id_prodotto,9
importo,22134.9
iva,0
id_azienda,20
id_prodotto,19
importo,22083.33
iva,4858.33
id_azienda,34
id_prodotto,8
importo,21673.4
iva,0
id_azienda,6
id_prodotto,11
importo,21183.46
iva,0
id_azienda,68
id_prodotto,10
importo,20206.01
iva,4445.32
id_azienda,20
id_prodotto,19
importo,20075.75
iva,0
id_azienda,68
id_prodotto,10
importo,18369.1
iva,0
id_azienda,99
id_prodotto,13
importo,16923.94
iva,3723.27
id_azienda,99
id_prodotto,13
importo,15385.4
iva,0
id_azienda,14
id_prodotto,15
importo,13044.46
iva,2869.78
id_azienda,14
id_prodotto,15
importo,11858.6
iva,0
id_azienda,27
id_prodotto,12
importo,1714.57
iva,377.21
id_azienda,58
id_prodotto,15
importo,1570.58
iva,345.53
id_azienda,27
id_prodotto,12
importo,1558.7
iva,342.91
id_azienda,27
id_prodotto,12
importo,1558.7
iva,342.91
id_azienda,76
id_prodotto,16
importo,1489
iva,327.58
id_azienda,40
id_prodotto,18
importo,1481
iva,325.82
id_azienda,10
id_prodotto,12
importo,1477
iva,324.94
id_azienda,5
id_prodotto,18
importo,1473
iva,324.06
id_azienda,93
id_prodotto,2
importo,1469
iva,323.18
id_azienda,34
id_prodotto,18
importo,1451
iva,319.22
id_azienda,32
id_prodotto,13
importo,1448
iva,318.56
id_azienda,3
id_prodotto,10
importo,1444
iva,317.68
id_azienda,35
id_prodotto,7
importo,1444
iva,317.68
id_azienda,1
id_prodotto,5
importo,1436
iva,315.92
id_azienda,33
id_prodotto,1
importo,1434
iva,315.48
id_azienda,58
id_prodotto,15
importo,1427.8
iva,314.12
id_azienda,10
id_prodotto,13
importo,1418
iva,311.96
id_azienda,27
id_prodotto,12
importo,1417
iva,311.74
id_azienda,31
id_prodotto,18
importo,1415
iva,311.3
id_azienda,3
id_prodotto,8
importo,1413
iva,310.86
id_azienda,52
id_prodotto,16
importo,1409
iva,309.98
id_azienda,9
id_prodotto,16
importo,1409
iva,309.98
id_azienda,67
id_prodotto,11
importo,1403.6
iva,308.79
id_azienda,66
id_prodotto,15
importo,1402
iva,308.44
id_azienda,38
id_prodotto,19
importo,1398.1
iva,307.58
id_azienda,34
id_prodotto,16
importo,1388
iva,305.36
id_azienda,46
id_prodotto,18
importo,1386
iva,304.92
id_azienda,81
id_prodotto,1
importo,1386
iva,304.92
id_azienda,7
id_prodotto,9
importo,1377
iva,302.94
id_azienda,51
id_prodotto,12
importo,1376
iva,302.72
id_azienda,28
id_prodotto,15
importo,1375
iva,302.5
id_azienda,65
id_prodotto,2
importo,1364.0
iva,300.08
id_azienda,10
id_prodotto,19
importo,1363
iva,299.86
id_azienda,83
id_prodotto,2
importo,1361
iva,299.42
id_azienda,55
id_prodotto,10
importo,1353
iva,297.66
id_azienda,68
id_prodotto,14
importo,1346
iva,296.12
id_azienda,65
id_prodotto,3
importo,1346
iva,296.12
id_azienda,7
id_prodotto,18
importo,1343
iva,295.46
id_azienda,74
id_prodotto,17
importo,1340
iva,294.8
id_azienda,67
id_prodotto,4
importo,1339
iva,294.58
id_azienda,84
id_prodotto,9
importo,1333.2
iva,293.3
id_azienda,29
id_prodotto,8
importo,1322
iva,290.84
id_azienda,47
id_prodotto,6
importo,1308
iva,287.76
id_azienda,37
id_prodotto,12
importo,1307
iva,287.54
id_azienda,58
id_prodotto,15
importo,1298
iva,285.56
id_azienda,28
id_prodotto,10
importo,1295
iva,284.9
id_azienda,11
id_prodotto,15
importo,1293
iva,284.46
id_azienda,66
id_prodotto,13
importo,1292
iva,284.24
id_azienda,56
id_prodotto,2
importo,1292
iva,284.24
id_azienda,74
id_prodotto,1
importo,1289
iva,283.58
id_azienda,48
id_prodotto,6
importo,1285
iva,282.7
id_azienda,14
id_prodotto,7
importo,1278
iva,281.16
id_azienda,57
id_prodotto,18
importo,1278
iva,281.16
id_azienda,67
id_prodotto,11
importo,1276
iva,280.72
id_azienda,24
id_prodotto,13
importo,1273
iva,280.06
id_azienda,80
id_prodotto,15
importo,1273
iva,280.06
id_azienda,14
id_prodotto,15
importo,1271
iva,279.62
id_azienda,38
id_prodotto,19
importo,1271
iva,279.62
id_azienda,28
id_prodotto,18
importo,1261.7
iva,277.57
id_azienda,73
id_prodotto,8
importo,1259
iva,276.98
id_azienda,99
id_prodotto,9
importo,1254.0
iva,275.88
id_azienda,70
id_prodotto,2
importo,1248
iva,274.56
id_azienda,26
id_prodotto,14
importo,1243
iva,273.46
id_azienda,33
id_prodotto,18
importo,1241
iva,273.02
id_azienda,65
id_prodotto,2
importo,1240
iva,272.8
id_azienda,84
id_prodotto,17
importo,1229
iva,270.38
id_azienda,80
id_prodotto,9
importo,1220
iva,268.4
id_azienda,79
id_prodotto,13
importo,1216
iva,267.52
id_azienda,25
id_prodotto,15
importo,1215
iva,267.3
id_azienda,41
id_prodotto,16
importo,1214.4
iva,267.17
id_azienda,5
id_prodotto,11
importo,1213
iva,266.86
id_azienda,84
id_prodotto,9
importo,1212
iva,266.64
id_azienda,22
id_prodotto,11
importo,1197
iva,263.34
id_azienda,62
id_prodotto,7
importo,1185
iva,260.7
id_azienda,34
id_prodotto,12
importo,1182.5
iva,260.15
id_azienda,55
id_prodotto,5
importo,1182
iva,260.04
id_azienda,85
id_prodotto,7
importo,1182
iva,260.04
id_azienda,82
id_prodotto,10
importo,1171.5
iva,257.73
id_azienda,22
id_prodotto,12
importo,1169
iva,257.18
id_azienda,89
id_prodotto,4
importo,1158
iva,254.76
id_azienda,13
id_prodotto,2
importo,1150.6
iva,253.13
id_azienda,54
id_prodotto,6
importo,1147
iva,252.34
id_azienda,28
id_prodotto,18
importo,1147
iva,252.34
id_azienda,36
id_prodotto,2
importo,1144.0
iva,251.68
id_azienda,3
id_prodotto,11
importo,1143
iva,251.46
id_azienda,99
id_prodotto,9
importo,1140
iva,250.8
id_azienda,2
id_prodotto,16
importo,1139
iva,250.58
id_azienda,1
id_prodotto,6
importo,1129
iva,248.38
id_azienda,29
id_prodotto,3
importo,1124
iva,247.28
id_azienda,75
id_prodotto,7
importo,1119
iva,246.18
id_azienda,4
id_prodotto,15
importo,1104
iva,242.88
id_azienda,41
id_prodotto,16
importo,1104
iva,242.88
id_azienda,22
id_prodotto,10
importo,1100
iva,242.0
id_azienda,72
id_prodotto,16
importo,1094.5
iva,240.79
id_azienda,23
id_prodotto,4
importo,1092
iva,240.24
id_azienda,2
id_prodotto,2
importo,1088
iva,239.36
id_azienda,86
id_prodotto,2
importo,1084
iva,238.48
id_azienda,29
id_prodotto,5
importo,1084
iva,238.48
id_azienda,68
id_prodotto,5
importo,1078
iva,237.16
id_azienda,34
id_prodotto,12
importo,1075
iva,236.5
id_azienda,82
id_prodotto,8
importo,1074
iva,236.28
id_azienda,96
id_prodotto,2
importo,1073
iva,236.06
id_azienda,16
id_prodotto,5
importo,1072
iva,235.84
id_azienda,82
id_prodotto,10
importo,1065
iva,234.3
id_azienda,40
id_prodotto,10
importo,1063.7
iva,234.01
id_azienda,72
id_prodotto,17
importo,1060
iva,233.2
id_azienda,33
id_prodotto,10
importo,1059
iva,232.98
id_azienda,73
id_prodotto,14
importo,1055
iva,232.1
id_azienda,13
id_prodotto,2
importo,1046
iva,230.12
id_azienda,74
id_prodotto,16
importo,1042
iva,229.24
id_azienda,36
id_prodotto,2
importo,1040
iva,228.8
id_azienda,57
id_prodotto,10
importo,1039
iva,228.58
id_azienda,80
id_prodotto,19
importo,1033
iva,227.26
id_azienda,27
id_prodotto,18
importo,1029
iva,226.38
id_azienda,15
id_prodotto,9
importo,1012
iva,222.64
id_azienda,87
id_prodotto,3
importo,1006
iva,221.32
id_azienda,37
id_prodotto,1
importo,1002.1
iva,220.46
id_azienda,72
id_prodotto,16
importo,995
iva,218.9
id_azienda,73
id_prodotto,17
importo,993
iva,218.46
id_azienda,2
id_prodotto,18
importo,990
iva,217.8
id_azienda,3
id_prodotto,2
importo,989
iva,217.58
id_azienda,9
id_prodotto,13
importo,982.3
iva,216.11
id_azienda,48
id_prodotto,9
importo,982
iva,216.04
id_azienda,44
id_prodotto,16
importo,978
iva,215.16
id_azienda,64
id_prodotto,17
importo,977
iva,214.94
id_azienda,30
id_prodotto,4
importo,974
iva,214.28
id_azienda,90
id_prodotto,19
importo,969
iva,213.18
id_azienda,40
id_prodotto,10
importo,967
iva,212.74
id_azienda,22
id_prodotto,19
importo,962
iva,211.64
id_azienda,46
id_prodotto,1
importo,961
iva,211.42
id_azienda,2
id_prodotto,10
importo,953
iva,209.66
id_azienda,95
id_prodotto,14
importo,953
iva,209.66
id_azienda,37
id_prodotto,16
importo,951.5
iva,209.33
id_azienda,46
id_prodotto,3
importo,930
iva,204.6
id_azienda,31
id_prodotto,9
importo,925
iva,203.5
id_azienda,46
id_prodotto,14
importo,919
iva,202.18
id_azienda,57
id_prodotto,15
importo,917
iva,201.74
id_azienda,41
id_prodotto,8
importo,914
iva,201.08
id_azienda,12
id_prodotto,13
importo,912
iva,200.64
id_azienda,37
id_prodotto,1
importo,911
iva,200.42
id_azienda,10
id_prodotto,4
importo,911
iva,200.42
id_azienda,84
id_prodotto,8
importo,900
iva,198.0
id_azienda,41
id_prodotto,10
importo,898.7
iva,197.71
id_azienda,9
id_prodotto,13
importo,893
iva,196.46
id_azienda,38
id_prodotto,16
importo,889
iva,195.58
id_azienda,34
id_prodotto,14
importo,879
iva,193.38
id_azienda,18
id_prodotto,8
importo,878.9
iva,193.36
id_azienda,9
id_prodotto,1
importo,878
iva,193.16
id_azienda,77
id_prodotto,16
importo,877
iva,192.94
id_azienda,82
id_prodotto,14
importo,876
iva,192.72
id_azienda,31
id_prodotto,3
importo,876
iva,192.72
id_azienda,68
id_prodotto,7
importo,870
iva,191.4
id_azienda,35
id_prodotto,8
importo,866
iva,190.52
id_azienda,37
id_prodotto,16
importo,865
iva,190.3
id_azienda,19
id_prodotto,10
importo,862
iva,189.64
id_azienda,26
id_prodotto,11
importo,861
iva,189.42
id_azienda,49
id_prodotto,12
importo,860
iva,189.2
id_azienda,31
id_prodotto,19
importo,859
iva,188.98
id_azienda,26
id_prodotto,10
importo,856
iva,188.32
id_azienda,42
id_prodotto,4
importo,856
iva,188.32
id_azienda,85
id_prodotto,11
importo,850
iva,187.0
id_azienda,87
id_prodotto,10
importo,848.1
iva,186.58
id_azienda,6
id_prodotto,2
importo,848.1
iva,186.58
id_azienda,32
id_prodotto,2
importo,838
iva,184.36
id_azienda,41
id_prodotto,11
importo,836
iva,183.92
id_azienda,52
id_prodotto,18
importo,830
iva,182.6
id_azienda,37
id_prodotto,8
importo,822.8
iva,181.02
id_azienda,41
id_prodotto,10
importo,817
iva,179.74
id_azienda,4
id_prodotto,2
importo,812
iva,178.64
id_azienda,78
id_prodotto,15
importo,806
iva,177.32
id_azienda,98
id_prodotto,16
importo,806
iva,177.32
id_azienda,85
id_prodotto,2
importo,805
iva,177.1
id_azienda,18
id_prodotto,8
importo,799
iva,175.78
id_azienda,60
id_prodotto,1
importo,773.3
iva,170.13
id_azienda,6
id_prodotto,2
importo,771
iva,169.62
id_azienda,87
id_prodotto,10
importo,771
iva,169.62
id_azienda,63
id_prodotto,1
importo,764
iva,168.08
id_azienda,4
id_prodotto,17
importo,762
iva,167.64
id_azienda,16
id_prodotto,1
importo,758
iva,166.76
id_azienda,16
id_prodotto,18
importo,757
iva,166.54
id_azienda,6
id_prodotto,19
importo,754
iva,165.88
id_azienda,37
id_prodotto,8
importo,748
iva,164.56
id_azienda,89
id_prodotto,3
importo,745
iva,163.9
id_azienda,57
id_prodotto,17
importo,739.2
iva,162.62
id_azienda,36
id_prodotto,14
importo,735
iva,161.7
id_azienda,10
id_prodotto,11
importo,731
iva,160.82
id_azienda,1
id_prodotto,12
importo,729.3
iva,160.45
id_azienda,76
id_prodotto,12
importo,729
iva,160.38
id_azienda,49
id_prodotto,9
importo,723
iva,159.06
id_azienda,5
id_prodotto,5
importo,721.6
iva,158.75
id_azienda,5
id_prodotto,5
importo,721.6
iva,158.75
id_azienda,97
id_prodotto,15
importo,716
iva,157.52
id_azienda,76
id_prodotto,18
importo,713
iva,156.86
id_azienda,6
id_prodotto,4
importo,709
iva,155.98
id_azienda,17
id_prodotto,18
importo,708
iva,155.76
id_azienda,96
id_prodotto,12
importo,707
iva,155.54
id_azienda,60
id_prodotto,1
importo,703
iva,154.66
id_azienda,24
id_prodotto,16
importo,701
iva,154.22
id_azienda,35
id_prodotto,2
importo,699.6
iva,153.91
id_azienda,10
id_prodotto,1
importo,697
iva,153.34
id_azienda,56
id_prodotto,17
importo,690.8
iva,151.98
id_azienda,52
id_prodotto,14
importo,684
iva,150.48
id_azienda,91
id_prodotto,11
importo,681
iva,149.82
id_azienda,15
id_prodotto,8
importo,675
iva,148.5
id_azienda,57
id_prodotto,17
importo,672
iva,147.84
id_azienda,12
id_prodotto,9
importo,671
iva,147.62
id_azienda,1
id_prodotto,12
importo,663
iva,145.86
id_azienda,23
id_prodotto,9
importo,662
iva,145.64
id_azienda,5
id_prodotto,5
importo,656
iva,144.32
id_azienda,11
id_prodotto,1
importo,655
iva,144.1
id_azienda,10
id_prodotto,5
importo,655
iva,144.1
id_azienda,1
id_prodotto,18
importo,652.3
iva,143.51
id_azienda,53
id_prodotto,9
importo,646
iva,142.12
id_azienda,31
id_prodotto,8
importo,642
iva,141.24
id_azienda,38
id_prodotto,17
importo,640.2
iva,140.84
id_azienda,99
id_prodotto,16
importo,640
iva,140.8
id_azienda,5
id_prodotto,6
importo,637
iva,140.14
id_azienda,35
id_prodotto,2
importo,636
iva,139.92
id_azienda,92
id_prodotto,1
importo,633
iva,139.26
id_azienda,81
id_prodotto,2
importo,633
iva,139.26
id_azienda,34
id_prodotto,17
importo,633
iva,139.26
id_azienda,56
id_prodotto,17
importo,628
iva,138.16
id_azienda,31
id_prodotto,2
importo,627
iva,137.94
id_azienda,80
id_prodotto,13
importo,625
iva,137.5
id_azienda,13
id_prodotto,7
importo,608
iva,133.76
id_azienda,17
id_prodotto,5
importo,607
iva,133.54
id_azienda,17
id_prodotto,19
importo,605
iva,133.1
id_azienda,15
id_prodotto,2
importo,599
iva,131.78
id_azienda,96
id_prodotto,15
importo,599
iva,131.78
id_azienda,91
id_prodotto,5
importo,594
iva,130.68
id_azienda,1
id_prodotto,18
importo,593
iva,130.46
id_azienda,42
id_prodotto,17
importo,586
iva,128.92
id_azienda,12
id_prodotto,16
importo,586
iva,128.92
id_azienda,38
id_prodotto,17
importo,582
iva,128.04
id_azienda,94
id_prodotto,17
importo,581
iva,127.82
id_azienda,7
id_prodotto,12
importo,577
iva,126.94
id_azienda,15
id_prodotto,13
importo,574
iva,126.28
id_azienda,25
id_prodotto,3
importo,572
iva,125.84
id_azienda,68
id_prodotto,15
importo,571
iva,125.62
id_azienda,83
id_prodotto,17
importo,568
iva,124.96
id_azienda,21
id_prodotto,2
importo,563
iva,123.86
id_azienda,87
id_prodotto,15
importo,562.1
iva,123.66
id_azienda,48
id_prodotto,15
importo,562.1
iva,123.66
id_azienda,87
id_prodotto,15
importo,562.1
iva,123.66
id_azienda,87
id_prodotto,15
importo,562.1
iva,123.66
id_azienda,27
id_prodotto,15
importo,558
iva,122.76
id_azienda,9
id_prodotto,14
importo,556
iva,122.32
id_azienda,78
id_prodotto,11
importo,549
iva,120.78
id_azienda,94
id_prodotto,1
importo,548
iva,120.56
id_azienda,76
id_prodotto,1
importo,532
iva,117.04
id_azienda,64
id_prodotto,11
importo,525
iva,115.5
id_azienda,59
id_prodotto,18
importo,518
iva,113.96
id_azienda,73
id_prodotto,4
importo,518
iva,113.96
id_azienda,87
id_prodotto,15
importo,511
iva,112.42
id_azienda,48
id_prodotto,15
importo,511
iva,112.42
id_azienda,74
id_prodotto,8
importo,506
iva,111.32
